날짜,금융투자,보험,투신,은행,기타금융,연기금등,기타법인,개인,외국인,합계
2019-08,"1,212,096","9,493","48,309","219,209","6,160","11,478","1,619","18,076","916,471","2,442,911"
2019-07,"936,029","7,701","45,665","165,571",220,"8,246","1,414","11,218","757,516","1,933,580"
2019-06,"1,372,409","19,210","56,444","252,813",415,"34,692","8,370","19,296","1,353,454","3,117,103"
2019-05,"734,316","9,399","32,936","166,273",100,"8,640",606,"9,339","636,583","1,598,192"
2019-04,"805,432","8,906","42,923","166,064",280,"6,764","3,526","25,775","729,783","1,789,453"
2019-03,"943,566","21,811","35,589","216,119",150,"24,930","12,931","25,768","1,105,988","2,386,852"
2019-02,"354,708","5,262","17,239","90,304",0,"4,126","5,251","5,030","432,824","914,744"
2019-01,"647,607","9,732","16,497","137,700",0,"6,763","7,377","12,860","551,716","1,390,252"
2018-12,"962,349","18,573","36,294","178,071",100,"25,341","14,345","21,088","899,128","2,155,289"
2018-11,"766,839","10,052","29,248","170,630",0,"4,961","7,811","18,923","602,636","1,611,100"
2018-10,"881,929","11,527","34,760","235,332","3,310","6,052","9,626","19,606","706,314","1,908,456"
2018-09,"1,184,036","18,442","43,903","265,631",855,"29,225","16,718","23,365","1,115,764","2,697,939"
2018-08,"842,820","12,168","23,817","188,521",337,"6,963","9,787","33,018","645,398","1,762,829"
2018-07,"828,832","14,748","32,737","185,046",0,"8,598","7,850","17,480","568,816","1,664,107"
2018-06,"979,640","19,643","50,303","197,129",0,"28,143","15,200","35,568","795,947","2,121,573"
2018-05,"898,888","15,378","30,649","214,504",0,"8,777","9,765","34,878","696,536","1,909,375"
2018-04,"750,129","12,684","36,953","199,453",200,"11,473","7,756","8,855","499,134","1,526,637"
2018-03,"1,026,633","15,118","60,757","255,963",100,"24,521","12,149","37,893","854,492","2,287,626"
2018-02,"714,420","10,390","36,365","207,454",0,"9,294","7,366","10,629","466,808","1,462,726"
2018-01,"904,527","17,492","45,986","260,464",200,"10,154","8,655","43,262","590,807","1,881,547"
2017-12,"738,743","17,780","60,445","195,109",193,"21,535","7,848","61,332","721,198","1,824,183"
2017-11,"879,723","11,946","61,569","259,773",250,"11,956","11,730","30,919","525,547","1,793,413"
2017-10,"855,393","10,463","62,004","278,217",305,"9,000","6,391","31,394","677,322","1,930,489"
2017-09,"1,124,962","15,454","54,011","233,209",300,"15,084","8,469","14,846","833,893","2,300,228"
2017-08,"791,885","14,023","42,429","211,793",0,"6,933","5,883","9,960","604,608","1,687,514"
2017-07,"864,885","5,195","48,763","189,282",100,"6,245","4,426","11,820","326,560","1,457,276"
2017-06,"1,426,749","14,753","67,829","267,524",200,"23,697","13,979","18,842","652,469","2,486,042"
2017-05,"818,567","6,525","34,362","161,577",100,"3,201","4,058","9,597","320,564","1,358,551"
2017-04,"938,604","8,320","41,917","170,641",0,"7,094","5,816","27,562","407,544","1,607,498"
2017-03,"1,331,758","16,097","79,396","221,449",250,"33,512","14,397","43,444","921,177","2,661,480"
2017-02,"720,505","6,328","37,354","169,372",0,"7,192","5,679","21,538","396,583","1,364,551"
2017-01,"888,654","7,529","55,886","195,506",0,"6,935","7,907","39,436","457,521","1,659,374"
2016-12,"1,113,683","16,453","77,580","202,065",0,"37,139","16,318","88,429","790,820","2,342,487"
2016-11,"1,615,772","15,505","76,155","394,174",535,"13,502","16,500","77,674","871,214","3,081,031"
2016-10,"1,212,972","9,271","48,926","253,210",80,"18,971","11,169","28,576","523,846","2,107,021"
2016-09,"1,304,894","18,632","67,041","273,810",100,"26,967","13,231","23,220","659,040","2,386,935"
2016-08,"834,449","6,345","23,681","167,702",10,"6,827","6,110","19,269","293,341","1,357,734"
2016-07,"952,289","7,632","26,198","199,941",30,"5,172","18,784","17,700","326,229","1,553,975"
2016-06,"1,422,688","18,681","71,836","306,397",180,"26,745","23,353","24,570","1,093,415","2,987,865"
2016-05,"849,466","8,679","28,279","204,282",37,"4,298","17,150","16,954","485,599","1,614,744"
2016-04,"1,068,219","12,183","30,105","195,910",138,"7,781","14,232","19,149","557,227","1,904,944"
2016-03,"1,633,971","20,893","49,323","343,210",409,"24,015","9,186","32,976","984,270","3,098,253"
2016-02,"914,319","10,243","25,240","229,914",118,"6,854","5,879","26,663","484,948","1,704,178"
2016-01,"1,016,980","9,451","24,511","219,282",50,"7,452","3,485","27,305","598,328","1,906,844"
2015-12,"996,095","13,739","32,825","185,612",269,"26,408","11,243","30,013","622,902","1,919,106"
2015-11,"976,859","11,540","27,429","225,971",118,"6,429","4,879","35,872","559,562","1,848,659"
2015-10,"990,004","11,377","27,616","228,151",0,"6,616","2,485","39,264","574,373","1,879,886"
2015-09,"1,320,519","13,767","33,314","271,404",247,"28,948","10,811","35,507","732,504","2,447,021"
2015-08,"922,800","7,200","22,325","227,318",320,"3,995","3,277","34,413","442,844","1,664,492"
2015-07,"944,886","9,078","23,938","251,552",50,"9,124","3,849","34,085","384,450","1,661,012"
2015-06,"1,535,365","18,103","47,958","337,047",320,"34,706","12,817","56,237","903,126","2,945,679"
2015-05,"1,315,309","10,429","36,501","315,239",890,"11,356","1,160","66,356","889,646","2,646,886"
2015-04,"1,145,156","10,520","40,122","312,672",230,"9,658","9,005","64,371","747,000","2,338,734"
2015-03,"1,330,335","16,516","42,645","376,075",430,"33,046","10,634","65,823","911,532","2,787,036"
2015-02,"842,964","7,635","18,392","262,704",206,"7,932","1,622","49,170","534,523","1,725,148"
2015-01,"1,057,438","8,410","26,850","320,153",700,"6,518","4,820","79,904","628,712","2,133,505"
