날짜,금융투자,보험,투신,은행,기타금융,연기금등,기타법인,개인,외국인,합계
2016-02,"875,419","10,499","23,712","256,222",68,"8,192","6,481","27,582","496,003","1,704,178"
2016-01,"1,030,106","7,697","22,539","205,808",100,"4,485","4,519","26,418","605,172","1,906,844"
2015-12,"919,885","12,611","32,026","161,307",164,"25,438","11,310","29,584","726,781","1,919,106"
2015-11,"1,016,039","14,545","29,584","237,166",38,"9,468","4,841","36,269","500,709","1,848,659"
2015-10,"1,014,498","10,303","26,330","231,891",0,"7,513","2,673","39,863","546,815","1,879,886"
2015-09,"1,303,141","15,839","38,539","272,729",402,"30,620","10,145","35,668","739,938","2,447,021"
2015-08,"932,240","9,808","22,187","218,983",165,"6,819","3,207","35,010","436,073","1,664,492"
2015-07,"902,825","5,567","19,703","235,458",140,"5,460","3,747","34,143","453,969","1,661,012"
2015-06,"1,525,087","18,504","51,904","343,695",275,"35,322","12,783","55,926","902,183","2,945,679"
2015-05,"1,371,617","10,334","38,131","268,099",895,"7,721","2,534","66,082","881,473","2,646,886"
2015-04,"1,140,014","10,363","36,433","348,310",110,"8,233","8,705","64,220","722,346","2,338,734"
2015-03,"1,271,709","13,927","38,045","387,655",390,"28,297","11,128","65,665","970,220","2,787,036"
2015-02,"856,593","6,347","19,759","280,588",296,"6,144","1,724","49,415","504,282","1,725,148"
2015-01,"1,029,465","10,982","28,224","307,724",560,"8,226","1,733","79,922","666,669","2,133,505"
합계,"80,189,151","983,986","3,482,150","16,176,698","192,741","1,213,509","674,165","2,499,485","60,447,558","165,859,443"
